loan_amnt,int_rate,EmploymentLength ,Loan_Purpose ,home_ownership,LoanTerm,total_rec_prncp,total_rec_int,total_pymnt
3500,15,10,9,1,1,166.47,58.66,238
3500,21,11,6,1,1,165.02,61.9,257
3500,11,2,3,2,1,3500,71.36,225
3500,14,3,2,2,1,165.02,50.91,287
3500,11,11,2,2,1,156.09,82.27,227
3500,6,1,2,3,1,160.95,71.06,213
3500,21,10,2,3,1,142.71,114.54,257
3500,12,10,9,3,1,163.81,64.59,228
3500,13,3,2,3,1,177.21,35.33,232
3600,20,10,7,1,1,83.83,49.56,261
3600,14,2,3,1,1,172.22,58.14,243
3600,12,5,9,1,1,161.89,81.51,133
3600,8,8,3,1,1,177.72,46.08,224
3600,10,1,3,3,1,161.9,65.59,230
3600,11,1,3,3,1,149.01,112.31,253
3600,14,10,2,3,1,180.81,39.48,227
3600,7,10,4,3,1,201.36,51.9,220
3775,14,11,4,2,1,85.57,42.65,128
4000,19,1,3,1,1,168.07,118.64,287
4000,19,10,3,1,1,187.21,73.82,287
4000,18,10,9,1,1,156.87,146.69,283
4000,16,10,7,1,1,168.07,118.64,276
4000,11,10,2,1,1,83.38,56.82,248
4000,12,10,9,1,1,173.36,105.88,261
4000,6,10,3,1,1,190.25,57.52,120
4000,7,10,4,1,1,166.93,119.78,245
4000,8,10,4,1,1,668.81,117.9,247
4000,8,2,2,1,1,175.39,101.05,249
4000,17,4,4,1,1,200.89,43.87,279
4000,8,4,3,1,1,4000,49.92,249
4000,18,5,5,1,1,101,19.38,4050
4000,7,7,2,1,1,168.07,118.64,245
4000,17,1,3,2,1,175.39,101.05,279
4000,19,10,9,2,1,225.94,43.82,302
4000,19,10,,2,1,170.57,112.54,287
4000,7,10,9,2,1,197.47,51.2,245
4000,8,4,1,2,1,,43.87,247
4000,7,8,4,2,1,173.36,105.88,270
4000,15,1,2,3,1,191.33,64.61,372
4000,9,1,3,3,1,197.47,51.2,124
4000,19,1,2,3,1,170.57,112.54,287
4000,19,1,3,3,1,173.36,105.88,787
4000,13,1,2,3,1,195.68,55.08,265
4000,9,1,2,3,1,173.36,105.88,251
4000,18,10,,3,1,279.61,92.8,283
4000,16,10,3,3,1,175.39,101.05,276
4000,16,10,10,3,1,178.4,94.01,276
4000,18,2,3,3,1,2209.3,39.37,283
4000,11,2,2,3,1,199.31,47.25,279
4000,8,2,2,3,1,208.81,70.52,249
4000,23,3,3,3,1,200.89,43.87,304
4000,,3,3,3,1,183.94,81.21,294
4000,8,3,4,3,1,163.1,130.9,2249
4000,17,4,3,3,1,97.48,26.43,279
4000,8,4,2,3,1,195.68,55.08,247
4000,17,5,4,3,1,199.31,47.25,279
4000,15,5,9,3,1,199.31,47.25,272
4000,8,6,5,3,1,197.47,51.2,249
4000,10,7,3,3,1,170.57,112.54,256
4000,9,7,3,3,1,187.21,73.82,251
4000,19,11,6,3,1,168.07,118.64,140
4000,12,11,3,3,1,197.47,51.2,261
4100,23,3,4,2,1,160.79,150.35,311
4200,6,10,2,1,1,106.04,25.63,132
4300,6,11,3,1,1,517.07,46.05,133
4300,7,10,9,3,1,108.57,24.7,563
4400,21,11,4,1,1,202.34,80.04,196
4400,13,1,2,3,1,222.78,44.41,282
4400,6,4,3,3,1,88.94,107.23,267
4500,20,1,4,1,1,4500,49.22,327
4500,12,10,2,1,1,107.17,43.91,294
4500,13,10,5,1,1,210.61,83.05,298
4500,12,10,9,1,1,186.25,140.4,294
4500,14,2,3,1,1,220.15,61.97,301
4500,27,1,3,3,1,206.92,91.37,509
4500,9,1,3,3,1,316.54,191.97,282
4500,11,10,2,3,1,205.13,95.47,4549
4500,17,3,2,3,1,210.61,83.05,4557
4500,10,6,3,3,1,4500,57.07,151
4600,7,2,3,1,1,231.01,50.46,281
4800,14,10,3,1,1,208.02,127.06,321
4800,9,10,2,1,1,229.6,77.53,301
4800,15,2,4,1,1,113.65,58.6,327
4800,9,10,3,2,1,214.07,112.82,301
4800,,5,3,2,1,236.97,61.43,307
4800,11,10,2,3,1,218.81,101.83,172
4800,19,4,9,3,1,234.82,66.1,316
4800,8,7,3,3,1,201.69,114.58,298
4800,17,9,2,3,1,234.82,66.1,335
5000,16,1,9,1,1,212.79,141.1,346
5000,11,1,1,1,1,213.21,140.68,322
5000,11,1,2,1,1,229.93,101.52,322
5000,6,1,2,1,1,1038.36,107.2,304
5000,6,1,2,1,1,219.24,126.32,304
5000,8,1,3,1,1,117.31,43.99,308
5000,18,10,3,1,1,219.24,126.32,354
5000,22,10,3,1,1,237.8,83.81,374
5000,16,10,4,1,1,235.72,88.43,346
5000,16,10,9,1,1,199.31,175.1,346
5000,12,10,2,1,1,453.03,52.93,326
5000,12,10,4,1,1,206.94,156,326
5000,12,10,9,1,1,253.17,50.46,326
5000,7,10,1,1,1,210.07,148.3,306
5000,8,10,2,1,1,237.8,83.81,308
5000,9,10,2,1,1,237.8,83.81,313
5000,9,10,3,1,1,227.94,106.07,313
5000,7,10,3,1,1,244.6,68.85,306
5000,8,2,10,1,1,251.11,54.85,308
5000,17,3,7,1,1,224.84,113.21,349
5000,11,3,9,1,1,5000,13.65,322
5000,9,3,3,1,1,107.59,70.45,313
5000,6,3,3,1,1,372.86,86.86,304
5000,6,3,4,1,1,244.6,68.85,304
5000,7,4,4,1,1,234.01,92.27,306
5000,8,5,2,1,1,619.24,99.77,5014
5000,21,5,3,1,1,251.11,54.85,368
5000,14,5,2,1,1,234.01,92.27,338
5000,15,5,2,1,1,253.17,50.46,167
5000,7,5,4,1,1,222.98,117.52,306
5000,18,6,3,1,1,251.11,54.85,354
5000,19,6,7,1,1,196.09,183.36,358
5000,14,6,2,1,1,193.14,190.99,177
5000,9,8,2,1,1,224.17,113.88,313
5000,7,8,2,1,1,249.12,59.07,306
5000,10,9,2,1,1,187.34,206.26,320
5000,9,9,2,1,1,239.18,80.76,313
5000,14,11,5,1,1,249.12,59.07,338
5000,15,1,9,2,1,193.14,190.99,341
5000,13,1,4,2,1,244.6,68.85,331
5000,21,1,9,2,1,227.94,106.07,368
5000,15,10,9,2,1,249.12,59.07,341
5000,23,2,3,2,1,244.6,68.85,379
5000,24,2,9,2,1,116.44,50.8,384
5000,9,2,2,2,1,246.85,64,313
5000,9,2,3,2,1,224.84,113.21,313
5000,6,3,2,2,1,253.17,50.46,304
5000,11,5,2,2,1,219.24,126.32,322
5000,8,11,3,2,1,110.8,56.32,311
5000,20,1,3,3,1,113.34,64.03,363
5000,14,1,3,3,1,249.12,59.07,719
5000,11,1,2,3,1,244.6,68.85,460
5000,9,10,3,3,1,253.17,50.46,5056
5000,24,10,2,3,1,237.8,83.81,384
5000,17,10,3,3,1,253.17,50.46,178
5000,14,10,3,3,1,246.85,64,338
5000,11,10,3,3,1,219.24,126.32,322
5000,11,10,10,3,1,229.93,101.52,322
5000,6,10,2,3,1,253.17,50.46,304
5000,26,2,8,3,1,244.6,68.85,394
5000,14,2,3,3,1,224.84,113.21,334
5000,14,2,3,3,1,222.98,117.52,338
5000,16,2,3,3,1,244.6,68.85,346
5000,16,2,3,3,1,219.24,126.32,346
5000,13,2,3,3,1,237.8,83.81,331
5000,11,2,3,3,1,234.01,92.27,161
5000,8,2,2,3,1,5000,55.72,311
5000,16,3,2,3,1,251.11,54.85,1146
5000,24,4,3,3,1,251.11,54.85,384
5000,7,4,3,3,1,206.94,156,506
5000,8,5,3,3,1,216.68,132.35,308
5000,18,6,2,3,1,237.8,83.81,354
5000,16,6,9,3,1,227.94,106.07,346
5000,13,6,3,3,1,213.21,140.68,331
5000,14,7,3,3,1,193.14,190.99,334
5000,20,8,2,3,1,203.88,163.62,363
5000,14,8,3,3,1,203.88,163.62,334
5000,11,11,2,3,1,219.24,126.32,324
5000,12,11,2,3,1,229.93,101.52,167
5100,7,10,2,1,1,256.12,55.94,312
5300,11,10,3,1,1,252.07,65.17,317
5300,13,4,6,3,1,243.71,107.62,351
5400,14,2,2,1,1,242.83,122.26,365
5400,8,5,7,2,1,266.6,69.11,336
5400,8,11,2,2,1,302.25,34.02,336
5500,22,1,2,1,1,219.25,192.61,412
5500,21,10,,1,1,259.31,78.27,404
5500,7,10,3,1,1,271.53,70.4,337
5500,11,5,3,1,1,278.47,55.51,338
5500,11,11,1,1,1,278.47,55.51,181
5500,6,1,2,2,1,276.22,60.32,334
5500,20,10,2,2,1,227.64,138.12,366
5500,6,1,2,3,1,261.58,92.19,334
5500,8,10,2,3,1,129.05,51.84,342
5500,7,2,2,3,1,276.22,60.32,337
5500,11,6,2,3,1,224.26,179.99,354
5525,15,10,1,3,1,246.4,129.86,376
5550,15,10,2,1,1,247.5,130.45,378
5575,11,2,1,3,1,264.92,68.78,334
5600,10,7,2,3,1,264.02,99.04,358
5600,6,9,3,3,1,283.55,56.52,340
5600,11,11,3,3,1,267.87,90.45,363
5800,9,5,3,2,1,283.73,79.87,364
6000,12,1,9,1,1,135.99,65.54,392
6000,6,1,2,1,1,269.8,135.84,186
6000,20,10,2,1,1,151.5,34.45,436
6000,17,10,4,1,1,263.08,151.57,419
6000,8,10,2,1,1,269.8,135.84,370
6000,8,10,2,1,1,303.8,46.56,370
6000,8,10,3,1,1,267.58,141.03,373
6000,8,10,3,1,1,301.32,65.81,373
6000,6,10,3,1,1,296.21,76.79,364
6000,7,10,4,1,1,293.51,82.63,367
6000,7,10,4,1,1,255.86,168.82,367
6000,14,2,7,1,1,287.01,96.91,401
6000,7,2,2,1,1,267.58,141.03,367
6000,7,2,3,1,1,296.21,76.79,367
6000,6,3,2,1,1,296.21,76.79,364
6000,7,3,2,1,1,301.32,65.81,367
6000,7,3,3,1,1,285.36,77.34,367
6000,10,4,4,1,1,275.9,121.83,384
6000,18,5,1,1,1,273.52,127.28,425
6000,15,5,3,1,1,303.8,60.55,409
6000,6,6,3,1,1,298.96,70.88,364
6000,9,6,4,1,1,296.21,76.79,376
6000,7,8,9,1,1,263.08,151.57,367
6000,11,11,,1,1,275.9,121.83,6036
6000,12,11,2,1,1,301.32,65.81,203
6000,11,11,3,1,1,287.01,96.91,363
6000,14,1,3,2,1,303.8,60.55,406
6000,14,2,3,2,1,273.52,127.28,401
6000,21,5,6,2,1,248.32,187.2,441
6000,6,5,2,2,1,267.59,108.48,364
6000,17,7,9,2,1,303.8,60.55,419
6000,13,1,2,3,1,296.21,76.79,398
6000,6,1,3,3,1,260.02,158.82,364
6000,8,1,3,3,1,260.02,158.82,373
6000,9,1,3,3,1,6000,35.73,376
6000,14,1,3,3,1,134.09,77.17,401
6000,13,1,3,3,1,301.32,65.81,398
6000,11,1,3,3,1,273.52,127.28,386
6000,13,10,2,3,1,301.32,65.81,6054
6000,16,10,1,3,1,244.65,196.35,415
6000,14,10,2,3,1,285.35,100.57,202
6000,14,10,2,3,1,301.32,65.81,406
6000,17,10,5,3,1,303.8,60.55,419
6000,11,10,3,3,1,280.81,110.73,386
6000,15,2,2,3,1,298.96,70.88,409
6000,15,3,2,3,1,6000,54.08,376
6000,16,3,9,3,1,139.73,62.93,415
6000,6,3,2,3,1,260.02,158.82,350
6000,8,3,2,3,1,298.96,70.88,373
6000,9,5,2,3,1,301.32,65.81,376
6000,8,5,2,3,1,285.35,100.57,370
6000,8,6,3,3,1,293.51,82.63,373
6000,10,8,2,3,1,303.8,60.55,384
6000,14,11,2,3,1,293.51,82.63,211
6025,12,10,3,1,1,270.92,136.41,393
6025,20,1,2,3,1,249.37,167.97,417
6025,20,2,3,3,1,249.36,187.98,437
6025,14,4,2,3,1,281.99,111.19,407
6050,8,2,2,3,1,298.67,77.44,376
6200,6,9,2,1,1,156.55,41.16,198
6250,14,4,3,3,1,281.04,141.5,423
6300,8,7,3,3,1,311.02,80.64,392
6400,14,8,3,3,1,291.77,106.84,399
6500,10,1,3,1,1,277.18,182.89,416
6500,12,10,1,1,1,309.14,108.95,424
6500,10,10,3,1,1,304.22,119.95,416
6500,8,10,4,1,1,310.92,104.98,382
6500,6,3,2,1,1,329.13,55.1,384
6500,9,3,2,1,1,323.86,57.67,407
6500,18,4,3,1,1,310.92,104.98,460
6500,26,1,3,2,1,320.89,83.19,512
6500,18,1,4,2,1,317.98,89.51,460
6500,11,1,3,3,1,304.22,119.95,418
6500,11,1,10,3,1,243.56,268.13,418
6500,8,10,2,3,1,317.98,89.51,219
6500,12,2,3,3,1,309.14,108.95,424
6500,9,6,3,3,1,277.18,182.89,407
6500,8,11,3,3,1,161.43,57.33,404
6600,7,1,2,1,1,162.36,43.55,812
6600,14,3,3,1,1,6600,22.81,404
6600,8,11,3,1,1,154.85,64.28,206
6600,11,10,2,3,1,300.87,102.72,6623
6600,11,11,3,3,1,741.22,70.32,219
6800,11,9,6,2,1,323.4,113.99,437
7000,11,1,9,1,1,321.9,142.13,2238
7000,12,10,3,1,1,2161.55,76.83,225
7000,8,10,2,1,1,312.17,164.53,223
7000,13,2,2,1,1,334.84,113.05,456
7000,11,4,3,1,1,285.43,229.06,230
7000,11,4,3,1,1,321.9,134.56,454
7000,11,4,3,1,1,319.11,148.5,450
7000,13,4,5,1,1,351.55,76.77,464
7000,11,5,2,1,1,164.24,65.97,438
7000,7,6,2,1,1,163.01,61.95,411
7000,15,7,3,1,1,327.63,103.94,477
7000,7,7,3,1,1,330.02,123.8,428
7000,7,7,4,1,1,354.42,70.65,233
7000,7,8,3,1,1,354.42,70.65,428
7000,21,11,4,1,1,300.55,151.5,514
7000,10,11,3,1,1,294.1,207.61,448
7000,6,11,2,1,1,332.91,105.13,425
7000,6,1,3,2,1,303.36,135.98,425
7000,8,10,3,2,1,351.55,59.03,435
7000,19,6,3,2,1,332.91,117.34,502
7000,23,1,10,3,1,274.51,256.7,531
7000,14,1,3,3,1,175.26,57.33,468
7000,18,10,2,3,1,351.55,76.77,452
7000,17,10,3,3,1,345.57,89.59,439
7000,16,2,4,3,1,294.1,207.61,484
7000,10,3,3,3,1,330.02,123.8,448
7000,11,5,3,3,1,172.2,50.96,454
7000,12,7,3,3,1,334.84,113.05,432
7000,19,9,3,3,1,306.66,177.1,502
7025,21,1,10,1,1,286.44,229.89,516
7075,23,11,3,3,1,277.45,259.45,537
7150,14,1,3,1,1,159.79,77.6,237
7200,9,1,3,1,1,282.37,221.91,429
7200,15,10,4,1,1,181.8,36.17,490
7200,8,10,2,1,1,344.42,116.28,448
7200,6,2,3,1,1,355.45,92.16,218
7200,12,11,2,1,1,352.24,76.79,470
7200,10,11,3,2,1,361.59,78.98,461
7200,23,2,3,3,1,321.1,169.23,504
7200,7,3,2,3,1,336.97,132.87,441
7300,8,1,3,3,1,179.59,69.75,249
7400,26,10,3,1,1,277.28,305.26,583
7500,14,2,2,1,1,351.02,138.4,289
7500,8,2,2,1,1,328.85,189.46,462
7500,11,7,3,1,1,175.96,63.62,240
7500,7,7,3,1,1,356.69,125.71,459
7500,12,11,3,1,1,376.65,82.26,489
7500,9,11,3,1,1,182.79,77.08,260
7500,6,1,3,2,1,310.42,233.99,455
7500,16,10,4,2,1,356.69,125.71,518
7500,11,1,2,3,1,334.47,176.28,482
7500,20,2,3,3,1,373.69,88.61,544
7500,11,2,3,3,1,170,118.64,482
7500,15,5,2,3,1,379.75,75.69,511
7500,8,5,3,3,1,373.69,88.61,462
7650,8,3,3,3,1,377.66,97.92,476
7800,14,10,3,1,1,350.73,176.6,527
7800,8,3,3,1,1,391.72,85.56,461
7800,7,10,3,2,1,385.06,75.61,477
8000,10,2,3,2,1,313.73,293.37,512
8000,11,1,3,1,1,374.42,147.63,515
8000,8,1,3,1,1,380.48,134.09,497
8000,8,10,9,1,1,359.74,181.13,8054
8000,15,10,9,1,1,189.4,69.08,498
8000,11,10,1,1,1,367.87,162.44,515
8000,8,10,3,1,1,313.73,293.37,360
8000,7,10,3,1,1,382.67,129.2,490
8000,9,10,4,1,1,367.87,162.44,502
8000,16,3,4,1,1,377.15,141.49,553
8000,13,3,3,1,1,391.36,110.17,530
8000,12,3,3,1,1,297.28,63.04,522
8000,12,3,9,1,1,8000,53.55,522
8000,9,3,3,1,1,166.74,155.73,502
8000,8,3,3,1,1,391.36,110.17,261
8000,13,4,2,1,1,374.42,147.63,530
8000,11,4,2,1,1,359.74,145.76,519
8000,14,5,2,1,1,380.48,134.09,534
8000,6,5,3,1,1,350.76,202.1,486
8000,10,6,2,1,1,391.36,110.17,512
8000,12,7,2,1,1,405.05,80.74,522
8000,11,7,3,1,1,394.94,102.4,519
8000,19,8,4,1,1,374.42,147.63,322
8000,11,1,2,2,1,374.42,147.63,515
8000,23,10,3,2,1,474.42,147.63,607
8000,8,2,2,2,1,364.69,169.71,497
8000,9,7,3,2,1,201.99,43.06,476
8000,10,1,2,3,1,374.42,147.63,512
8000,9,1,3,3,1,394.94,102.4,502
8000,23,1,9,3,1,401.75,87.75,607
8000,14,10,2,3,1,374.42,147.63,541
8000,14,10,3,3,1,391.36,110.17,506
8000,14,10,3,3,1,377.15,141.49,534
8000,10,10,3,3,1,382.67,129.2,512
8000,11,10,3,3,1,359.74,181.13,519
8000,7,10,3,3,1,364.69,169.71,831
8000,11,2,2,3,1,198.68,62.16,258
8000,12,2,2,3,1,755.08,75.42,622
8000,9,2,3,3,1,382.67,129.2,502
8000,12,3,2,3,1,394.94,102.4,522
8000,12,3,3,3,1,374.43,109.21,522
8000,6,3,2,3,1,391.37,84.71,245
8000,14,4,2,3,1,356.78,141.31,541
8000,9,4,2,3,1,377.15,141.49,502
8000,12,5,3,3,1,382.67,129.2,484
8000,8,5,2,3,1,380.48,134.09,497
8000,6,5,3,3,1,394.94,102.4,486
8000,12,7,3,3,1,405.05,80.74,522
8000,11,8,3,3,1,377.15,141.49,519
8000,8,9,3,3,1,391.36,110.17,497
8250,18,10,3,1,1,351.81,232.12,584
8250,10,2,3,3,1,800.74,97.86,899
8400,16,1,2,1,1,368.3,212.2,581
8400,14,10,3,1,1,425.3,84.78,568
8400,6,10,2,1,1,561.57,107.43,510
8400,11,1,3,3,1,377.72,190.19,669
8425,9,10,3,1,1,8425,310.15,528
8425,27,3,2,1,1,412.14,116.01,8735
8500,16,10,3,1,1,368.36,225,587
8500,6,10,2,1,1,372.7,214.73,516
8500,9,10,3,1,1,415.81,117.05,533
8500,9,10,4,1,1,372.7,214.73,533
8500,14,3,3,1,1,415.81,117.05,875
8500,8,6,3,1,1,419.25,91.77,511
8500,17,7,3,1,1,179.89,135.77,593
8500,16,8,4,1,1,387.48,180.32,587
8500,14,1,3,3,1,430.38,85.78,568
8500,6,1,2,3,1,400.71,150.34,516
8500,11,2,3,3,1,379.05,199.79,551
8500,18,7,3,3,1,688.28,186.39,316
8500,15,11,9,3,1,430.38,85.78,579
8750,24,11,2,2,1,167.29,177.7,345
8800,17,1,3,1,1,381.35,232.95,614
8800,11,10,3,1,1,8800,144.84,8945
8800,24,3,2,2,1,339.93,336.14,676
9000,12,10,2,1,1,430.52,145.35,587
9000,6,10,3,1,1,455.68,90.84,547
9000,6,10,3,1,1,421.2,166.09,547
9000,10,4,2,1,1,428.02,150.86,576
9000,19,5,7,1,1,428.02,150.86,9106
9000,8,7,3,1,1,421.2,166.09,560
9000,7,8,3,1,1,953.9,100.85,551
9000,12,11,3,2,1,428.02,150.86,9041
9000,14,1,2,3,1,413.85,182.73,346
9000,12,1,3,3,1,203.98,142.38,587
9000,11,10,3,3,1,9000,41.3,579
9000,11,2,3,3,1,451.98,98.72,579
9000,7,2,3,3,1,9000,105.6,551
9000,21,3,3,3,1,366.96,294.51,661
9000,13,3,2,3,1,451.98,98.72,597
9000,13,3,3,3,1,413.85,182.73,597
9000,8,4,3,3,1,455.68,90.84,1055
9000,9,8,3,3,1,440.28,123.93,564
9000,11,11,3,3,1,444.3,115.2,579
9350,8,10,2,3,1,465.87,110.46,576
9375,14,10,2,1,1,427.37,198.88,626
9400,11,3,1,3,1,447.04,157.56,605
9500,14,10,2,1,1,444.6,175.32,635
9500,12,1,2,2,1,433.07,201.53,620
9500,9,1,2,3,1,464.73,130.82,596
9500,8,3,3,3,1,473.35,112.23,586
9500,8,5,2,3,1,9500,2.85,9503
9600,8,1,3,1,1,376.48,352.04,597
9600,7,1,4,1,1,428.12,225.64,587
9600,18,10,9,1,1,376.48,352.04,679
9600,14,10,3,1,1,219.54,128.07,641
9600,16,10,9,1,1,469.62,132.19,330
9600,6,10,3,1,1,473.93,122.88,583
9600,9,10,4,1,1,486.06,96.89,602
9600,13,11,4,1,1,482.11,105.29,348
9600,19,10,3,2,1,242.38,72.35,688
9600,15,10,3,2,1,403.34,284.73,654
9600,13,1,2,3,1,441.43,194.93,636
9600,14,2,8,3,1,437.62,203.65,649
9600,23,3,10,3,1,431.69,217.35,729
9600,6,5,3,3,1,209.07,120.51,315
9600,23,9,2,3,1,409.36,270.1,729
9900,11,10,2,1,1,466.71,171.99,639
9925,14,10,3,1,1,452.44,210.54,663
10000,9,1,3,1,1,455.86,212.14,10003
10000,21,1,3,1,1,917.91,317.06,735
10000,14,1,2,1,1,223.49,116.56,668
10000,16,1,3,1,1,438.47,252.62,691
10000,14,1,3,1,1,284.74,100.33,676
10000,11,1,2,1,1,471.43,176.87,648
10000,10,1,3,1,1,478.34,161.51,640
10000,10,1,3,1,1,217.77,188.3,640
10000,6,1,2,1,1,468,184.55,607
10000,8,1,3,1,1,420.14,296.6,622
10000,23,1,3,1,1,438.47,252.62,759
10000,16,1,3,1,1,413.87,311.99,406
10000,11,1,2,1,1,223.49,112.54,643
10000,7,1,3,1,1,449.67,226.41,612
10000,7,1,3,1,1,543.15,176.29,612
10000,16,10,3,1,1,498.24,118.14,10006
10000,23,10,3,1,1,468,184.55,435
10000,16,10,2,1,1,489.2,113.23,691
10000,16,10,8,1,1,478.34,161.51,691
10000,11,10,3,1,1,489.2,104.28,643
10000,10,10,3,1,1,677.2,166.01,640
10000,6,10,2,1,1,3501.71,174.37,2607
10000,6,10,2,1,1,478.34,161.51,301
10000,8,10,3,1,1,455.86,212.14,310
10000,6,10,3,1,1,392.17,366.71,607
10000,7,10,3,1,1,475.59,167.62,612
10000,9,10,3,1,1,471.43,176.87,627
