loan_amnt,int_rate,Term,annual_inc,emp_length,home_own,Loan_purpose,total_pymnt,Prncp_Rec,Interest_Rec,Interest_Rec,Grade
8000,9,1,60000,4,3,2,502,391,110,1,1
8000,9,1,120000,1,3,3,502,391,110,1,1
10000,7,1,32400,2,3,3,612,502,110,1,1
8000,9,1,125000,3,3,3,502,391,110,1,1
11000,6,1,45000,3,1,2,668,557,111,1,1
6025,12,1,80000,2,1,3,393,282,111,1,2
6000,12,1,125000,1,1,5,392,281,111,1,2
3600,20,1,175000,2,1,5,261,149,112,1,4
9500,8,1,54000,3,3,3,586,473,112,1,1
5000,14,1,30000,5,1,2,338,225,113,1,3
4800,15,1,76000,3,1,5,327,214,113,1,3
20000,7,1,85000,2,1,5,614,501,113,1,1
4000,18,1,90000,2,1,5,283,171,113,1,4
11875,8,2,90000,2,1,2,274,161,113,1,1
10000,14,1,90000,6,3,2,336,223,113,1,3
10000,9,1,95000,2,3,3,602,489,113,1,1
5000,14,1,33000,3,3,3,338,225,113,1,3
4000,18,1,55000,3,3,3,283,171,113,1,4
7000,10,1,45581,3,3,3,448,335,113,1,2
4000,18,1,86000,2,3,5,283,171,113,1,4
11000,8,2,34000,5,1,2,413,299,114,1,1
6800,11,1,46000,7,2,5,437,323,114,1,2
5000,14,1,46737,2,3,3,338,224,114,1,3
3000,24,1,80000,2,1,1,230,116,115,1,5
3500,21,1,40000,2,1,1,257,143,115,1,4
11350,6,1,120000,3,1,2,689,575,115,1,1
9000,8,1,55000,6,1,3,560,444,115,1,1
12000,15,2,41000,2,1,3,12115,12000,115,1,3
10500,7,1,350000,1,3,2,642,527,115,1,1
3500,21,1,33190,2,3,2,257,143,115,1,4
4800,19,1,28000,5,3,5,316,202,115,1,4
8425,9,1,50000,2,1,3,528,412,116,1,1
18000,9,1,40000,1,3,3,1128,1012,116,1,1
8500,9,1,67000,2,1,3,533,416,117,1,1
7000,11,1,52000,5,1,3,450,333,117,1,2
8500,9,1,75000,2,1,5,533,416,117,1,1
10000,14,2,34992,5,1,3,231,115,117,1,3
10000,14,1,47000,2,3,2,340,223,117,1,3
2825,26,1,204060,2,3,2,222,106,117,1,5
10000,17,2,75000,5,3,2,225,107,117,1,3
12000,8,2,115000,2,3,3,280,163,117,1,1
10000,8,1,50000,3,1,2,616,498,118,1,1
10000,8,1,68000,3,1,2,616,498,118,1,1
10000,8,1,77600,4,1,2,616,498,118,1,1
10000,8,1,35000,5,1,2,616,498,118,1,1
10000,8,1,125000,5,1,3,616,498,118,1,1
10000,8,1,40000,1,2,3,616,498,118,1,1
10000,8,1,44000,2,2,5,616,498,118,1,1
5000,15,1,40000,1,2,5,341,223,118,1,3
5000,15,1,24000,2,2,5,341,223,118,1,3
10000,8,1,84000,2,3,2,616,498,118,1,1
10000,8,1,37440,1,3,3,616,498,118,1,1
4000,19,1,57600,1,3,3,787,669,118,1,4
10000,8,1,25000,3,3,3,616,498,118,1,1
10000,12,2,36000,5,3,2,241,123,118,1,2
7500,14,1,50000,3,1,2,289,170,119,1,3
4000,19,1,37000,1,1,3,287,168,119,1,4
4000,19,1,92000,2,1,3,287,168,119,1,4
4000,19,1,75000,2,2,5,287,168,119,1,4
4000,19,1,73000,1,3,2,287,168,119,1,4
21000,7,1,45000,7,3,3,645,526,119,1,1
10000,11,2,40000,1,3,3,246,127,119,1,2
6500,12,1,100000,2,1,1,424,304,120,1,2
12000,6,1,50000,5,2,3,1129,1009,120,1,1
4000,19,1,80000,2,2,5,302,167,120,1,4
6500,12,1,46500,3,3,3,424,304,120,1,2
12000,9,1,49000,3,3,3,413,292,120,1,1
11000,7,1,60000,1,1,2,673,552,121,1,1
12000,6,1,50000,6,1,2,729,608,121,1,1
9600,16,1,73000,2,1,5,330,209,121,1,3
12000,6,1,120000,5,1,2,729,608,121,1,1
17000,9,1,58000,6,1,2,535,414,121,1,1
3300,23,1,70000,4,3,2,250,129,121,1,5
12000,6,1,100000,1,3,3,729,608,121,1,1
12000,6,1,55000,3,3,3,729,608,121,1,1
12000,6,1,38000,5,3,3,729,608,121,1,1
3300,23,1,49700,4,3,5,250,129,121,1,5
10175,11,2,97344,4,3,2,480,359,121,1,2
5400,14,1,25000,3,1,2,365,243,122,1,3
10000,10,2,75000,2,1,3,379,257,122,1,2
15000,11,2,48000,6,1,3,15122,15000,122,1,2
6000,13,1,43000,1,3,2,398,276,122,1,2
6000,13,1,29159,1,3,3,398,276,122,1,2
9600,8,1,35000,1,1,3,597,474,123,1,1
10500,8,1,86000,7,1,2,647,523,124,1,1
7000,11,1,43000,5,1,3,454,330,124,1,2
10450,13,2,58000,2,1,2,10574,10450,124,1,2
10000,8,2,75000,1,1,3,396,272,124,1,1
10000,8,2,65000,2,1,3,396,272,124,1,1
3000,26,1,20000,5,3,3,236,112,124,1,5
7000,11,1,60000,5,3,3,454,330,124,1,2
9000,9,1,90000,6,3,3,564,440,124,1,1
10000,8,2,72800,3,3,2,396,272,124,1,1
10000,11,2,100000,5,1,2,252,127,125,1,2
10000,18,2,96000,2,2,3,229,104,125,1,4
12000,13,1,50000,1,3,3,400,274,125,1,2
5000,16,1,50000,2,1,5,346,219,126,1,3
5000,16,1,115000,1,1,5,346,219,126,1,3
5000,16,1,70000,2,1,5,346,219,126,1,3
10000,8,2,56000,2,1,3,398,272,126,1,1
10000,8,2,51000,2,1,3,398,272,126,1,1
10000,8,2,73500,2,2,2,398,272,126,1,1
10000,8,2,42000,1,2,3,398,272,126,1,1
17000,6,1,54080,1,2,2,987,861,126,1,1
7500,11,1,57000,1,3,2,482,357,126,1,2
10000,16,1,50000,5,3,2,343,218,126,1,3
7500,11,1,84000,3,3,3,482,357,126,1,2
5000,16,1,15000,3,3,3,346,219,126,1,3
5000,16,1,33000,3,3,3,346,219,126,1,3
5000,16,1,110000,5,3,5,346,219,126,1,3
10000,8,2,37000,2,3,2,398,272,126,1,1
10000,8,2,90000,5,3,5,398,272,126,1,1
6000,14,1,40000,3,1,5,401,274,127,1,3
15000,6,1,129996,2,2,3,887,759,127,1,1
6000,14,1,40000,3,2,3,401,274,127,1,3
6000,14,1,35000,1,3,3,401,274,127,1,3
10000,8,1,55400,3,1,2,622,494,128,1,1
10000,8,1,120000,1,1,3,622,494,128,1,1
10000,8,1,60000,5,1,5,622,494,128,1,1
10100,8,2,75000,2,1,3,402,275,128,1,1
10000,8,1,35000,1,2,2,622,494,128,1,1
10000,8,1,55000,5,3,2,622,494,128,1,1
10000,8,1,75000,6,3,2,622,494,128,1,1
10000,8,1,45000,2,3,3,622,494,128,1,1
8000,10,1,24000,3,1,3,512,383,129,1,2
22000,8,1,70000,2,1,2,676,546,129,1,1
8000,10,1,38000,5,1,2,512,383,129,1,2
10000,8,1,35000,1,1,2,401,272,129,1,1
10000,8,2,74000,2,1,2,401,272,129,1,1
10000,8,2,52000,3,1,2,401,272,129,1,1
10000,8,2,40000,2,1,3,401,272,129,1,1
10200,8,2,41000,2,1,3,406,277,129,1,1
15500,10,2,70000,5,1,3,15629,15500,129,1,2
8000,10,1,50000,1,3,2,512,383,129,1,2
10000,14,1,35000,3,3,2,352,223,129,1,3
8000,10,1,62500,2,3,3,512,383,129,1,2
5550,15,1,152500,2,1,2,378,248,130,1,3
10000,11,2,41000,3,1,3,384,255,130,1,2
5525,15,1,118000,2,2,1,376,246,130,1,3
13000,6,1,89000,4,1,2,789,658,131,1,1
13000,6,1,180000,1,1,3,789,658,131,1,1
16000,12,2,248000,4,1,2,328,197,131,1,2
10000,8,2,80000,5,1,2,403,272,131,1,1
10000,8,2,80000,5,1,3,403,272,131,1,1
10000,8,2,80000,6,1,3,403,272,131,1,1
9500,9,1,45000,1,2,2,596,465,131,1,1
13000,6,1,105000,3,3,3,789,658,131,1,1
4000,21,1,56000,4,3,3,294,163,131,1,4
10000,8,2,120000,2,3,2,403,272,131,1,1
16000,12,2,66700,5,3,2,328,197,131,1,2
10000,12,2,120000,3,3,3,3590,3458,131,1,2
11200,8,1,70000,2,1,2,690,558,132,1,1
12000,7,1,65000,3,1,2,734,603,132,1,1
12000,7,1,80000,2,1,3,734,603,132,1,1
12000,7,1,80000,1,1,5,734,603,132,1,1
9600,9,1,95000,2,1,5,602,470,132,1,1
5000,17,1,51300,4,1,5,349,217,132,1,3
20000,8,2,72000,2,1,3,403,271,132,1,1
12000,7,1,67000,1,2,2,734,603,132,1,1
12000,7,1,54000,2,3,2,734,603,132,1,1
15000,8,1,55000,3,3,2,505,373,132,1,1
12000,7,1,39624,6,3,3,734,603,132,1,1
10400,8,2,80000,1,3,3,414,283,132,1,1
27000,8,2,119500,2,1,3,4051,3919,133,1,1
8000,11,1,82923,2,1,1,515,380,134,1,2
8000,11,1,35000,1,1,3,515,380,134,1,2
10000,9,2,80000,3,1,3,401,267,134,1,1
10400,8,2,35000,3,1,3,417,283,134,1,1
8000,11,1,20000,1,1,2,515,380,134,1,2
10000,9,2,99000,6,2,2,401,267,134,1,1
10500,8,1,104000,1,3,2,653,518,134,1,1
7000,13,1,51000,3,1,2,456,322,135,1,2
22000,9,2,75500,3,2,2,428,293,135,1,1
10000,12,1,46800,5,3,2,603,468,135,1,2
12500,7,1,53000,1,3,3,762,628,135,1,1
10000,9,2,87360,2,1,2,404,267,136,1,1
10000,9,2,85000,5,1,2,404,267,136,1,1
6000,14,1,300000,1,2,3,406,270,136,1,3
6000,14,1,55000,2,3,2,406,270,136,1,3
10000,10,1,153000,5,3,2,614,478,136,1,2
6025,14,1,16800,5,3,2,407,271,136,1,3
7000,17,1,55000,2,3,3,439,303,136,1,3
8500,18,1,30000,6,3,3,316,180,136,1,4
11600,8,1,60000,6,3,2,715,578,137,1,1
10000,9,1,100000,2,1,3,627,489,138,1,1
10000,9,1,60000,2,1,3,627,489,138,1,1
10000,9,1,135820,2,1,5,627,489,138,1,1
10000,12,2,68500,2,1,2,261,123,138,1,2
5500,20,1,40000,2,1,2,366,228,138,1,4
10000,9,1,41000,7,2,5,627,489,138,1,1
10000,9,1,150000,1,2,2,627,489,138,1,1
10000,12,1,105000,1,3,2,371,233,138,1,2
10000,9,1,65000,5,3,2,627,489,138,1,1
10000,9,1,90000,2,3,3,627,489,138,1,1
10000,9,1,26000,3,3,3,627,489,138,1,1
10000,9,1,60000,5,3,3,627,489,138,1,1
10000,9,1,51200,6,3,3,627,489,138,1,1
10000,9,1,80000,5,3,5,627,489,138,1,1
15000,7,1,100000,2,1,3,892,753,139,1,1
10000,9,2,78000,2,1,2,406,267,139,1,1
21000,9,1,96200,1,2,3,651,512,139,1,1
15000,8,2,100000,2,3,3,546,408,139,1,1
18000,10,2,48000,5,3,3,18139,18000,139,1,2
4500,20,1,115800,1,1,5,327,186,140,1,4
12000,14,2,67000,1,3,2,277,137,140,1,3
8000,11,1,60000,5,1,2,519,377,141,1,2
5000,18,1,53580,2,1,3,354,213,141,1,4
6000,15,1,30000,5,1,3,409,268,141,1,3
5000,18,1,59280,5,1,3,354,213,141,1,4
8000,11,1,76000,6,1,3,519,377,141,1,2
8000,15,1,158000,2,1,5,498,357,141,1,3
10000,9,2,72000,7,1,2,408,267,141,1,1
14000,6,1,45000,3,3,2,850,709,141,1,1
6000,15,1,32484,3,3,2,409,268,141,1,3
5000,18,1,41600,6,3,2,354,213,141,1,4
8000,11,1,63000,2,3,3,519,377,141,1,2
11000,8,1,68000,3,3,3,684,543,141,1,1
8000,11,1,31000,6,3,3,519,377,141,1,2
10000,9,2,39000,2,3,2,408,267,141,1,1
12000,8,1,94992,2,1,3,740,598,142,1,1
7000,13,1,102500,5,1,4,464,322,142,1,2
9000,14,1,150000,1,3,2,346,204,142,1,3
12000,8,1,35000,3,3,2,740,598,142,1,1
6250,14,1,39616,5,3,3,423,281,142,1,3
11000,8,2,40000,5,3,2,441,299,142,1,1
11200,8,1,65000,2,1,2,696,553,143,1,1
15000,8,2,39000,1,1,3,346,203,143,1,1
11000,18,2,72000,3,1,3,257,114,143,1,4
10000,9,2,108000,5,1,3,411,267,143,1,1
13000,7,1,35000,6,2,3,795,653,143,1,1
15000,8,1,72000,3,3,2,512,369,143,1,1
11000,8,2,68000,6,1,2,443,299,144,1,1
9000,10,1,75000,5,1,2,576,431,145,1,2
8800,11,1,68000,2,1,3,8945,8800,145,1,2
10000,11,2,67000,4,1,3,399,255,145,1,2
12000,15,2,37000,1,1,5,281,135,145,1,3
16000,9,2,34454,3,3,2,358,213,145,1,1
10000,18,2,73000,5,3,2,249,104,145,1,4
10000,9,2,100000,2,1,2,413,267,146,1,1
12000,12,2,110000,3,1,3,293,148,146,1,2
8000,14,1,50000,2,3,3,506,360,146,1,3
10000,12,2,25200,3,3,3,394,247,146,1,2
17000,8,1,115000,1,1,2,994,847,147,1,1
20000,6,1,80000,1,1,3,652,505,147,1,1
20000,8,1,275000,5,1,5,644,497,147,1,1
4000,23,1,90000,4,3,3,304,157,147,1,5
24000,8,2,190000,3,3,2,472,325,147,1,1
12500,8,1,250000,2,1,2,770,623,148,1,1
8000,12,1,85000,6,1,2,522,374,148,1,2
20000,7,1,53000,2,1,3,649,501,148,1,1
8000,12,1,51320,3,1,3,522,374,148,1,2
20000,6,1,70000,4,1,3,1161,1013,148,1,1
5000,19,1,60000,5,1,5,358,210,148,1,4
8000,12,1,83200,3,1,5,522,374,148,1,2
11000,18,2,58000,1,1,5,270,121,148,1,4
8000,12,1,22000,3,3,2,622,474,148,1,2
8000,12,1,69000,3,3,2,522,374,148,1,2
20000,6,1,107000,3,3,3,1161,1013,148,1,1
8000,12,1,53188,3,3,3,522,374,148,1,2
8000,12,1,62000,6,3,3,522,374,148,1,2
10000,12,1,64000,6,3,3,617,468,148,1,2
12000,8,2,125000,2,1,2,475,326,149,1,1
12600,8,1,33000,1,3,3,777,628,149,1,1
10000,12,1,100000,1,3,3,10149,10000,149,1,2
7000,14,1,30000,1,3,3,468,319,149,1,3
12000,8,2,62000,6,3,3,475,326,149,1,1
11600,10,2,65000,6,3,3,547,398,149,1,2
4100,23,1,17000,4,2,5,311,161,150,1,5
8500,11,1,42000,3,3,3,551,401,150,1,2
11000,9,1,129000,2,1,2,690,538,151,1,1
15000,6,1,148000,6,1,2,911,759,151,1,1
11000,9,1,58080,2,1,3,690,538,151,1,1
15000,6,1,120000,2,1,5,911,759,151,1,1
11500,8,1,62000,1,1,2,463,312,151,1,1
20000,13,2,84000,2,1,5,20151,20000,151,1,2
11000,9,1,75000,2,2,3,690,538,151,1,1
15000,13,1,55000,5,3,2,494,343,151,1,2
10000,13,1,53000,6,3,2,380,229,151,1,2
9000,11,1,54000,2,3,3,579,428,151,1,2
9000,11,1,88000,3,3,3,579,428,151,1,2
10000,13,1,48000,6,3,3,380,229,151,1,2
12000,8,1,75000,1,1,2,478,326,152,1,1
12000,8,2,75000,1,1,3,478,326,152,1,1
6000,16,1,50000,2,2,1,415,263,152,1,3
7000,18,1,32000,2,3,2,452,301,152,1,4
6000,16,1,40000,4,3,5,415,263,152,1,3
12000,8,2,43000,1,3,2,478,326,152,1,1
10000,10,1,60000,3,1,3,1640,1487,153,1,2
11700,10,2,48000,2,1,3,454,301,153,1,2
27500,12,2,75000,3,1,3,27653,27500,153,1,2
12000,8,1,117246,2,1,2,746,592,154,1,1
12000,8,1,84000,2,1,2,746,592,154,1,1
12000,8,1,60000,4,1,2,746,592,154,1,1
14000,7,1,126000,2,1,3,857,703,154,1,1
12000,8,1,60000,4,1,3,746,592,154,1,1
14000,7,1,120000,2,1,5,857,703,154,1,1
12000,8,1,75000,5,1,5,746,592,154,1,1
13000,8,1,99000,1,3,2,801,648,154,1,1
12000,8,1,103000,3,3,2,746,592,154,1,1
13000,8,1,63000,5,3,2,801,648,154,1,1
15200,8,1,80000,3,3,3,904,750,154,1,1
14000,16,1,44000,5,3,3,12968,12813,154,1,3
10000,13,2,60000,7,3,2,394,240,154,1,2
12000,8,2,85000,2,1,2,481,326,155,1,1
12000,8,2,105000,2,1,3,481,326,155,1,1
11000,9,2,50000,3,1,3,449,294,155,1,1
20000,11,2,55000,2,1,5,408,253,155,1,2
12000,8,2,75000,5,3,2,481,326,155,1,1
12000,8,2,53000,3,3,3,481,326,155,1,1
16000,8,1,92000,6,1,2,953,797,156,1,1
12000,9,1,140000,6,1,2,743,587,156,1,1
8000,19,1,98000,6,1,5,322,167,156,1,4
19000,7,1,120000,3,1,5,631,476,156,1,1
19000,8,2,127000,2,1,3,413,257,156,1,1
5000,20,1,52166,6,3,2,363,207,156,1,4
5000,20,1,38200,1,3,3,363,207,156,1,4
15500,6,1,62000,2,3,3,941,785,156,1,1
16000,13,2,100000,2,3,3,347,191,156,1,2
10000,10,2,70000,2,1,2,414,257,157,1,2
15000,14,2,72000,2,1,3,329,172,157,1,3
13000,8,2,75000,1,3,2,915,758,157,1,1
10000,10,2,80000,2,3,2,414,257,157,1,2
10000,10,2,36000,2,3,2,414,257,157,1,2
10000,13,2,54000,5,3,5,397,240,157,1,2
10000,10,2,20000,5,3,5,414,257,157,1,2
12000,19,2,50000,3,2,2,279,122,158,1,4
9400,11,1,45000,3,2,1,605,447,158,1,2
25000,8,1,135000,2,1,2,774,615,159,1,1
10450,19,1,70000,2,1,3,377,218,159,1,4
6000,17,1,66000,2,1,5,419,260,159,1,3
6000,17,1,22000,6,2,5,419,260,159,1,3
6000,17,1,63500,2,3,4,419,260,159,1,3
12500,8,1,69000,5,1,3,777,617,160,1,1
10000,10,2,25000,1,1,3,417,257,160,1,2
10000,11,2,85000,5,1,3,414,255,160,1,2
10000,10,2,93000,5,1,3,417,257,160,1,2
16000,6,1,43000,4,1,2,972,810,161,1,1
16000,6,1,110000,2,1,5,972,810,161,1,1
12500,8,2,60000,2,1,2,501,340,161,1,1
16000,6,1,44000,5,2,3,972,810,161,1,1
10000,11,2,46000,3,3,2,1417,1257,161,1,2
8000,13,1,95000,5,1,2,530,368,162,1,2
10000,10,1,280000,1,1,3,640,478,162,1,2
10000,10,1,65000,1,1,3,640,478,162,1,2
10000,10,1,62000,2,1,3,640,478,162,1,2
8000,13,1,52000,3,1,3,530,368,162,1,2
10000,10,2,115000,2,1,2,420,257,162,1,2
10000,10,2,80000,1,1,3,420,257,162,1,2
10000,10,2,98000,2,1,3,420,257,162,1,2
10000,10,2,130000,3,1,3,420,257,162,1,2
10000,10,1,96000,3,3,3,640,478,162,1,2
16000,9,1,65000,5,3,3,944,783,162,1,1
10000,10,2,75000,4,3,2,420,257,162,1,2
12000,8,2,90000,2,1,2,489,326,163,1,1
10000,11,2,100000,4,1,3,417,255,163,1,2
10000,11,2,100000,4,1,5,417,255,163,1,2
15000,14,2,125000,5,2,3,335,172,163,1,3
12000,9,2,96000,1,3,3,484,321,163,1,1
14000,16,2,60000,2,3,3,318,155,163,1,3
5000,21,1,60000,5,1,3,368,204,164,1,4
12000,13,2,50000,1,1,2,308,143,164,1,2
5000,21,1,100000,1,2,5,368,204,164,1,4
20000,12,2,77000,2,3,2,410,246,164,1,2
15000,7,1,60000,1,1,2,918,753,165,1,1
12000,9,1,50000,2,1,2,752,587,165,1,1
15000,7,1,315000,5,1,2,918,753,165,1,1
12000,9,1,90000,5,1,2,752,587,165,1,1
15000,7,1,80000,7,1,2,918,753,165,1,1
12000,9,1,125005,7,1,2,752,587,165,1,1
12000,9,1,86000,2,1,3,752,587,165,1,1
15000,7,1,320000,3,1,3,918,753,165,1,1
7000,15,1,52000,6,1,3,477,312,165,1,3
10000,10,2,50000,2,1,3,422,257,165,1,2
10500,10,2,58000,5,1,3,435,270,165,1,2
10000,10,2,73000,2,1,5,422,257,165,1,2
15000,7,1,125000,2,3,2,918,753,165,1,1
15000,7,1,63500,2,3,2,918,753,165,1,1
13000,8,1,35000,2,1,2,808,642,166,1,1
9000,12,1,85000,2,1,2,587,421,166,1,2
10000,11,1,150000,3,1,2,843,677,166,1,2
10000,11,1,50000,1,1,2,420,255,166,1,2
10000,11,2,115000,2,1,5,420,255,166,1,2
12000,9,1,60000,1,2,2,487,321,166,1,1
9000,12,1,40000,1,3,3,587,421,166,1,2
10000,11,2,56000,5,3,3,420,255,166,1,2
13000,8,1,100000,2,1,1,521,353,167,1,1
13000,8,1,45000,1,1,2,521,353,167,1,1
13000,8,2,85000,5,1,2,521,353,167,1,1
14000,9,2,116000,1,1,3,541,374,167,1,1
13000,8,2,120000,2,1,3,521,353,167,1,1
13000,8,2,58000,2,1,3,521,353,167,1,1
12500,8,2,45000,3,3,3,506,340,167,1,1
10000,11,1,88340,1,1,2,643,476,168,1,2
19000,6,1,75000,2,1,2,1130,962,168,1,1
10000,11,1,90000,7,1,2,643,476,168,1,2
10000,11,1,68000,2,1,3,643,476,168,1,2
10000,11,1,107000,3,1,3,643,476,168,1,2
10000,11,1,140000,5,1,5,643,476,168,1,2
13500,8,2,190000,2,1,2,535,367,168,1,1
10500,10,2,200000,5,1,2,438,270,168,1,2
6025,20,1,21600,1,3,2,417,249,168,1,4
10000,11,1,55000,7,3,2,643,476,168,1,2
10000,11,1,50000,5,3,3,643,476,168,1,2
6000,18,1,90000,5,1,1,425,256,169,1,4
7200,15,1,30305,2,1,5,490,321,169,1,3
10000,11,2,60000,2,1,5,423,255,169,1,2
10000,11,2,125000,3,2,2,423,255,169,1,2
8000,14,1,35000,5,1,2,534,365,170,1,3
15500,7,1,50000,5,1,3,948,778,170,1,1
13500,13,2,36000,1,1,2,331,161,170,1,2
15500,7,1,54000,2,3,3,948,778,170,1,1
8000,14,1,119000,2,3,3,534,365,170,1,3
30000,8,2,92000,2,1,3,1290,1119,171,1,1
10500,11,2,120000,5,1,3,438,267,171,1,2
9900,11,1,50000,2,1,2,639,467,172,1,2
17000,6,1,80000,3,1,2,1032,861,172,1,1
17000,6,1,70000,1,1,3,1032,861,172,1,1
10250,11,1,96000,2,1,3,659,487,172,1,2
30000,6,1,66000,3,1,3,930,757,172,1,1
11000,10,2,120000,2,1,5,455,283,172,1,2
10000,11,1,30000,1,3,2,422,251,172,1,2
10000,14,2,59400,5,3,2,403,230,172,1,3
11200,13,2,60000,3,3,3,441,269,172,1,2
10000,11,2,62000,5,3,3,422,251,172,1,2
10400,11,2,66500,2,3,5,437,265,172,1,2
20000,11,2,75000,3,2,3,426,253,173,1,2
10000,14,1,60000,1,2,5,3676,3502,174,1,3
12000,8,2,115000,3,2,3,500,326,174,1,1
13000,9,2,58200,3,3,2,521,348,174,1,1
5000,22,1,72000,2,1,3,374,199,175,1,4
10000,11,2,35000,4,1,2,429,255,175,1,2
21000,10,2,62000,2,1,3,444,269,175,1,2
9500,12,1,26880,1,1,2,620,445,175,1,2
10000,14,2,45000,1,3,2,406,230,175,1,3
16000,7,1,182000,2,1,2,979,804,176,1,1
16000,7,1,83000,5,1,2,979,804,176,1,1
15000,8,1,148000,1,1,3,1158,982,176,1,1
16000,7,1,65000,2,1,3,979,804,176,1,1
11000,10,2,60000,6,1,2,458,283,176,1,2
15000,8,2,50000,5,1,3,584,408,176,1,1
11000,10,2,82000,5,1,3,458,283,176,1,2
10800,11,2,29350,6,1,3,451,275,176,1,2
10000,25,2,75000,2,1,5,260,84,176,1,5
11000,10,2,51000,5,1,5,458,283,176,1,2
7500,15,1,70000,5,3,2,511,334,176,1,3
10000,11,1,67427,3,3,5,719,543,176,1,2
19200,12,2,93600,2,3,3,413,236,176,1,2
10000,11,1,55000,1,1,2,648,471,177,1,2
15000,8,1,105000,1,1,3,958,780,177,1,1
15000,8,1,53000,2,1,3,925,747,177,1,1
7800,14,1,93000,2,1,3,527,351,177,1,3
15000,8,1,90000,5,1,3,925,747,177,1,1
14000,8,2,92000,5,1,3,558,380,177,1,1
10000,11,1,100000,5,2,3,648,471,177,1,2
10000,11,1,34000,2,3,2,648,471,177,1,2
15000,8,1,90000,3,3,2,925,747,177,1,1
10000,11,1,75000,3,3,2,648,471,177,1,2
10000,11,1,45000,3,3,2,648,471,177,1,2
7000,16,1,110000,3,3,5,484,307,177,1,3
10000,20,2,28000,3,3,3,276,99,177,1,4
10000,20,2,110800,6,3,3,276,99,177,1,4
